timestamp_unix,fusion_timestamp,dominant_emotion,confidence,safe,stressed,alert_level,alert_reason,fer_neutral,fer_happy,fer_sad,fer_angry,fer_alert,fer_drowsy,bio_bpm,bio_hrv,bio_gsr,bio_safe,bio_stressed
1774268459.146,1774268459.146464,safe,0.8770996232757541,0.8770996232757541,0.12290037672424593,NORMAL,Stress level is low (EMA=0.12),0.06236797943711281,0.4255470633506775,0.42139849066734314,0.0906863883137703,1.0,0.0,0.0,0.0,674.0,1.0,0.0
1774268459.228,1774268459.2282343,safe,0.9048266023417691,0.9048266023417691,0.09517339765823088,NORMAL,Stress level is low (EMA=0.12),0.06142941862344742,0.5420147180557251,0.32524725794792175,0.07130855321884155,1.0,0.0,0.0,0.0,674.0,1.0,0.0
1774268459.267,1774268459.2666101,safe,0.9048266023417691,0.9048266023417691,0.09517339765823088,NORMAL,Stress level is low (EMA=0.11),0.06142941862344742,0.5420147180557251,0.32524725794792175,0.07130855321884155,1.0,0.0,0.0,0.0,674.0,1.0,0.0
1774268459.305,1774268459.3053792,safe,0.9048266023417691,0.9048266023417691,0.09517339765823088,NORMAL,Stress level is low (EMA=0.11),0.06142941862344742,0.5420147180557251,0.32524725794792175,0.07130855321884155,1.0,0.0,0.0,0.0,674.0,1.0,0.0
1774268459.379,1774268459.3791618,safe,0.9208406057212678,0.9208406057212678,0.07915939427873224,NORMAL,Stress level is low (EMA=0.10),0.059401873499155045,0.6107672452926636,0.2811892032623291,0.04864158853888512,1.0,0.0,0.0,0.0,674.0,1.0,0.0
1774268459.419,1774268459.4190836,safe,0.9208406057212678,0.9208406057212678,0.07915939427873224,NORMAL,Stress level is low (EMA=0.09),0.059401873499155045,0.6107672452926636,0.2811892032623291,0.04864158853888512,1.0,0.0,0.0,0.0,674.0,1.0,0.0
1774268459.450,1774268459.4499395,safe,0.9208406057212678,0.9208406057212678,0.07915939427873224,NORMAL,Stress level is low (EMA=0.09),0.059401873499155045,0.6107672452926636,0.2811892032623291,0.04864158853888512,1.0,0.0,0.0,0.0,674.0,1.0,0.0
1774268459.530,1774268459.5300963,safe,0.8969138689325434,0.8969138689325434,0.10308613106745652,NORMAL,Stress level is low (EMA=0.09),0.04417160898447037,0.5263028144836426,0.39729976654052734,0.03222576901316643,1.0,0.0,0.0,0.0,674.0,1.0,0.0
1774268459.570,1774268459.5696228,safe,0.8969138689325434,0.8969138689325434,0.10308613106745652,NORMAL,Stress level is low (EMA=0.10),0.04417160898447037,0.5263028144836426,0.39729976654052734,0.03222576901316643,1.0,0.0,0.0,0.0,674.0,1.0,0.0
1774268459.609,1774268459.6085145,safe,0.8969138689325434,0.8969138689325434,0.10308613106745652,NORMAL,Stress level is low (EMA=0.10),0.04417160898447037,0.5263028144836426,0.39729976654052734,0.03222576901316643,1.0,0.0,0.0,0.0,674.0,1.0,0.0
1774268459.682,1774268459.6816926,safe,0.9282994517950127,0.9282994517950127,0.07170054820498734,NORMAL,Stress level is low (EMA=0.09),0.31376907229423523,0.3874785900115967,0.27603864669799805,0.02271362580358982,1.0,0.0,0.0,0.0,674.0,1.0,0.0
1774268459.717,1774268459.7168527,safe,0.9282994517950127,0.9282994517950127,0.07170054820498734,NORMAL,Stress level is low (EMA=0.08),0.31376907229423523,0.3874785900115967,0.27603864669799805,0.02271362580358982,1.0,0.0,0.0,0.0,674.0,1.0,0.0
1774268459.755,1774268459.7550387,safe,0.9282994517950127,0.9282994517950127,0.07170054820498734,NORMAL,Stress level is low (EMA=0.08),0.31376907229423523,0.3874785900115967,0.27603864669799805,0.02271362580358982,1.0,0.0,0.0,0.0,676.0,1.0,0.0
1774268459.810,1774268459.809737,safe,0.9282994517950127,0.9282994517950127,0.07170054820498734,NORMAL,Stress level is low (EMA=0.08),0.31376907229423523,0.3874785900115967,0.27603864669799805,0.02271362580358982,1.0,0.0,0.0,0.0,676.0,1.0,0.0
1774268459.861,1774268459.8608758,safe,0.9282994517950127,0.9282994517950127,0.07170054820498734,NORMAL,Stress level is low (EMA=0.08),0.31376907229423523,0.3874785900115967,0.27603864669799805,0.02271362580358982,1.0,0.0,0.0,0.0,676.0,1.0,0.0
1774268459.939,1774268459.9388623,safe,0.9524430061521236,0.9524430061521236,0.047556993847876435,NORMAL,Stress level is low (EMA=0.07),0.5414122939109802,0.26043352484703064,0.18280856311321259,0.015345572493970394,1.0,0.0,0.0,0.0,676.0,1.0,0.0
1774268459.973,1774268459.9727983,safe,0.9524430061521236,0.9524430061521236,0.047556993847876435,NORMAL,Stress level is low (EMA=0.06),0.5414122939109802,0.26043352484703064,0.18280856311321259,0.015345572493970394,1.0,0.0,0.0,0.0,676.0,1.0,0.0
1774268460.014,1774268460.0134811,safe,0.9524430061521236,0.9524430061521236,0.047556993847876435,NORMAL,Stress level is low (EMA=0.06),0.5414122939109802,0.26043352484703064,0.18280856311321259,0.015345572493970394,1.0,0.0,0.0,0.0,676.0,1.0,0.0
1774268460.087,1774268460.086497,safe,0.9654693964467368,0.9654693964467368,0.03453060355326322,NORMAL,Stress level is low (EMA=0.05),0.5383174419403076,0.3178049921989441,0.13226354122161865,0.011613968759775162,1.0,0.0,0.0,0.0,676.0,1.0,0.0
1774268460.149,1774268460.1490414,safe,0.9291926089174474,0.9291926089174474,0.07080739108255261,NORMAL,Stress level is low (EMA=0.06),0.37140342593193054,0.33356571197509766,0.27984708547592163,0.015183696523308754,1.0,0.0,0.0,0.0,676.0,1.0,0.0
1774268460.173,1774268460.1726172,safe,0.9291926089174474,0.9291926089174474,0.07080739108255261,NORMAL,Stress level is low (EMA=0.06),0.37140342593193054,0.33356571197509766,0.27984708547592163,0.015183696523308754,1.0,0.0,0.0,0.0,676.0,1.0,0.0
1774268460.208,1774268460.2080615,safe,0.9291926089174474,0.9291926089174474,0.07080739108255261,NORMAL,Stress level is low (EMA=0.06),0.37140342593193054,0.33356571197509766,0.27984708547592163,0.015183696523308754,1.0,0.0,0.0,0.0,676.0,1.0,0.0
1774268460.291,1774268460.2912066,safe,0.8943205072173129,0.8943205072173129,0.10567949278268705,NORMAL,Stress level is low (EMA=0.08),0.24248021841049194,0.3171885013580322,0.41526174545288086,0.025069452822208405,1.0,0.0,0.0,0.0,676.0,1.0,0.0
1774268460.358,1774268460.3580363,safe,0.8490447502198939,0.8490447502198939,0.1509552497801062,NORMAL,Stress level is low (EMA=0.10),0.16246294975280762,0.20855680108070374,0.5619903802871704,0.06698980182409286,1.0,0.0,0.0,0.0,676.0,1.0,0.0
1774268460.378,1774268460.3781319,safe,0.8490447502198939,0.8490447502198939,0.1509552497801062,NORMAL,Stress level is low (EMA=0.11),0.16246294975280762,0.20855680108070374,0.5619903802871704,0.06698980182409286,1.0,0.0,0.0,0.0,676.0,1.0,0.0
1774268460.448,1774268460.4484613,safe,0.8687661320768838,0.8687661320768838,0.13123386792311614,NORMAL,Stress level is low (EMA=0.12),0.29216763377189636,0.1610245406627655,0.4987850785255432,0.04802268370985985,1.0,0.0,0.0,0.0,676.0,1.0,0.0
1774268460.515,1774268460.5150542,safe,0.9005521793984398,0.9005521793984398,0.09944782060156017,NORMAL,Stress level is low (EMA=0.11),0.38901597261428833,0.19661803543567657,0.3670910894870758,0.04727480560541153,1.0,0.0,0.0,0.0,676.0,1.0,0.0
1774268460.563,1774268460.5630546,safe,0.9159116491457248,0.9159116491457248,0.08408835085427527,NORMAL,Stress level is low (EMA=0.10),0.4722127914428711,0.17741897702217102,0.30660390853881836,0.04376419261097908,1.0,0.0,0.0,0.0,676.0,1.0,0.0
1774268460.612,1774268460.6116312,safe,0.9354802262588577,0.9354802262588577,0.06451977374114222,NORMAL,Stress level is low (EMA=0.09),0.44990235567092896,0.28126516938209534,0.23220375180244446,0.03662862256169319,1.0,0.0,0.0,0.0,676.0,1.0,0.0
